timestamp,bitcoin_price,ethereum_price,ripple_price,sui_price,solana_price,dogecoin_price,bitcoin_change,ethereum_change,ripple_change,sui_change,solana_change,dogecoin_change
2024-11-17 19:19:33,89793,3078.66,1.08,3.79,236.78,0.36,0,0,0,0,0,0
2024-11-17 19:24:33,89697,3076.70,1.08,3.78,236.65,0.36,-0.11,-0.06,-0.37,-0.26,-0.05,-0.35
